# ['w_index', 'synchrony', 'N', 'L_left', 'L_right', 'largest eigenvalue', 'alpha_chain', 'alpha_chain_hat', 'alpha_conv', 'alpha_conv_hat', 'alpha_div', 'alpha_div_hat', 'alpha_recip', 'alpha_recip_hat', 'p_AVG', 'p_hat']
5.000000000000000000e+01,3.012253169154024857e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.643899429496257625e+01,-1.225690631940561937e-01,-7.086020513564406098e-02,6.842493133480086198e-02,1.216650500452942651e-01,7.664217712716339670e-02,1.253583013970480664e-01,1.483804936614064318e-01,6.859860010598890057e+00,1.666666666666666644e-02,1.662031788373902544e-02
5.100000000000000000e+01,2.819085136488302390e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.706535046946329715e+01,-1.284189263040663720e-01,-7.357790372939199131e-02,2.848013419950015113e-01,3.466147387257096923e-01,4.730105063212917960e-02,9.898303079196590915e-02,8.526389962208684448e-02,6.630652517983654626e+00,1.666666666666666644e-02,1.673457819273091104e-02
5.200000000000000000e+01,3.740183442461638919e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,6.005109274928706498e+01,1.353298637884748912e-01,1.721406555256002058e-01,1.563382950813671513e-01,1.919674443269443476e-01,1.909660034506643345e-01,2.536030823647272836e-01,2.941288122645220326e-01,9.946332484943329888e+00,1.666666666666666644e-02,1.704357007891519477e-02
5.300000000000000000e+01,9.511322425267887404e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.679162372041251672e+01,-1.534775604156268236e-01,-9.569591520635700732e-02,1.683496620795102428e-01,2.054443545645703306e-01,1.364626207217258524e-01,1.803965670313398828e-01,2.539987221630401470e-01,6.747942249213183530e+00,1.666666666666666644e-02,1.706246526619984577e-02
5.400000000000000000e+01,4.367709901246223936e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.120290386195619448e+01,-3.720209028276666441e-02,7.966356460958667896e-03,1.089718490895256880e-01,1.565151013975665251e-01,5.546300632843551709e-02,1.121859754084171268e-01,1.260548901422321455e-01,7.763040000295887921e+00,1.666666666666666644e-02,1.675914193620095527e-02
5.500000000000000000e+01,-1.000000000000000000e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.111635663855814471e+01,-2.302341089513551542e-01,-1.654590210506665660e-01,2.914967759969362415e-01,3.584282582612117185e-01,1.451579941390938322e-01,1.975148311320298333e-01,2.793248600155739947e-02,5.432854368185507710e+00,1.666666666666666644e-02,1.651839502056241110e-02
5.600000000000000000e+01,7.695122989183905693e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.752589655750686859e+01,-7.897207239765036135e-02,-4.299334110368413508e-02,2.440097859546181414e-01,2.954418836235395140e-01,7.435486605337830734e-02,1.339704911013090971e-01,1.063339393923070780e-01,7.046031146953222191e+00,1.666666666666666644e-02,1.635189507613649118e-02
5.700000000000000000e+01,3.777400928462051333e-01,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.373138867624190596e+01,-1.824521110079391217e-01,-1.313421698624105405e-01,6.914312986551840456e-02,1.237978580768355208e-01,1.233183211916738103e-01,1.722653411823920067e-01,2.620489287065251929e-02,5.940277586527426656e+00,1.666666666666666644e-02,1.679926642214071494e-02
5.800000000000000000e+01,2.839315216882922321e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,4.585488599632862616e+01,-1.375866834463456145e-01,-8.381019921935672912e-02,8.689020173218757470e-02,1.330972016736122754e-01,9.264133763652743214e-02,1.423648398243899660e-01,1.715284746983162523e-01,6.747776077658369509e+00,1.666666666666666644e-02,1.662487495831943898e-02
5.900000000000000000e+01,4.261662221322071176e+00,3.000000000000000000e+03,9.000000000000000000e+01,9.000000000000000000e+01,5.295507486132651565e+01,-5.213711629180606266e-03,4.005589045461488418e-02,8.458193005887383598e-02,1.524825703072487659e-01,7.688416734300164423e-02,1.318047664819876896e-01,1.720721051812882929e-01,8.131725713239674747e+00,1.666666666666666644e-02,1.669523174391463957e-02
